State,District,City,Population,Area (in km^2),Latitude,Longitude,Year,Annual_Rainfall_mm,Annual_Recharge_MCM,Annual_Extractable_MCM,Annual_Extraction_MCM,Stage_of_Extraction_pct,Category,Is_Saline,Groundwater_Level_m
Jammu & Kashmir,Srinagar,Srinagar,1180570,298.0,34.08,74.8,2016,1624,3572,3113.042534025221,2498.6598015658533,80.2642358482343,Semi-Critical,0,26.22
Jammu & Kashmir,Anantnag,Anantnag,150198,189.0,33.73,75.15,2013,1328,3624,3201.177218937707,1670.3882458373996,52.18043649553737,Safe,0,14.52
Jammu & Kashmir,Jammu,Jammu,576198,1070.0,32.73,74.87,2022,2436,1827,1436.3819995755584,979.1866572644723,68.17035144925345,Safe,0,2.44
Himachal Pradesh,Shimla,Shimla,169578,35.0,31.1,77.17,2024,1324,2908,2221.0529415355745,1162.88442388779,52.35734827121248,Safe,0,33.12
Punjab,Gurdaspur,Pathankot,156306,687.0,32.27,75.65,2020,1981,4173,3407.0030739074477,3800.2735778054252,111.54300408208732,Over-Exploited,0,26.53
Punjab,Gurdaspur,Batala,158621,951.0,31.82,75.21,2017,789,3791,2935.1229314504094,1967.6408961727807,67.03776782529714,Safe,1,23.38
Punjab,Jalandhar,Jalandhar,868181,468.0,31.33,75.58,2022,2017,4533,3718.033839621091,3309.555839396303,89.01360187011056,Semi-Critical,0,48.41
Punjab,Hoshiarpur,Hoshiarpur,168653,1119.0,31.53,75.91,2014,655,1203,1011.8639585521042,533.5412180701425,52.72855244627913,Safe,0,29.42
Punjab,Ludhiana,Khanna,128137,212.0,30.7,76.22,2016,1108,1074,899.669397972111,869.7942327387193,96.67931739139605,Critical,0,43.44
Punjab,Ludhiana,Ludhiana,1618879,634.0,30.9,75.86,2019,2238,3732,2891.9662748718183,2099.9120702834475,72.61191420278656,Semi-Critical,0,8.69
Punjab,Moga,Moga,163397,1235.0,30.82,75.17,2012,2344,3132,2296.9212303440986,2592.1753657315116,112.85434308703661,Over-Exploited,0,29.32
Punjab,Firozpur,Firozpur,110313,1293.0,30.92,74.61,2016,409,4328,3402.2661953728866,3816.263241880685,112.16827322538249,Over-Exploited,0,43.66
Punjab,Firozpur,Abohar,145302,1209.0,30.13,74.2,2020,1197,3730,2717.375231485104,1977.443284302033,72.77034328532235,Semi-Critical,0,29.99
Punjab,Muktsar,Muktsar,116747,885.0,30.7,76.72,2020,1276,988,867.4831741523205,980.8394793826398,113.06726269833275,Over-Exploited,1,36.46
Punjab,Bathinda,Bathinda,285788,1512.0,30.21,74.95,2017,1428,1847,1420.6671339965644,1700.9794939110188,119.73103714491451,Over-Exploited,0,19.86
Punjab,Patiala,Patiala,446246,1148.0,30.34,76.38,2014,1415,4181,3055.859240628143,3293.577479514739,107.77909648867636,Over-Exploited,0,6.44
Punjab,Amritsar,Amritsar,1155664,562.0,31.63,74.87,2013,2224,3673,2589.793924426764,2826.5268405505026,109.14099434286601,Over-Exploited,0,23.98
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,166864,187.0,30.7,76.72,2017,773,2167,1796.799422216562,1211.5928383256635,67.4306115276363,Safe,0,20.94
Punjab,Sangrur,Malerkotla,135424,684.0,30.53,75.89,2017,623,2137,1768.1120504801572,1597.8281479129278,90.36916792004294,Critical,0,43.62
Punjab,Barnala,Barnala,116449,898.0,30.37,75.53,2012,1662,4614,3544.1095249212162,1938.9083901699294,54.70791397771575,Safe,0,13.71
Chandigarh,Chandigarh,Chandigarh,970602,114.0,30.74,76.77,2015,2202,4053,2895.2296570999056,1639.9812865237361,56.64425557751688,Safe,0,48.4
Uttarakhand,Dehradun,Dehradun,574840,300.0,30.32,78.03,2014,1252,1500,1172.8886684685694,1406.557212203857,119.92248284233034,Over-Exploited,0,47.99
Uttarakhand,Nainital,Haldwani,201461,44.0,29.22,79.51,2011,462,1350,1029.0287236671163,749.7991807889891,72.86474745981376,Semi-Critical,0,13.89
Uttarakhand,Udham Singh Nagar,Kashipur,121623,200.0,29.21,78.96,2017,1640,1888,1577.2807535639395,1614.7076360025442,102.37287384341924,Over-Exploited,1,18.71
Uttarakhand,Udham Singh Nagar,Rudrapur,154554,27.0,28.98,79.4,2021,1088,4212,3458.7084397389463,3682.367678731893,106.46655371187714,Over-Exploited,0,44.99
Uttarakhand,Hardwar,Roorkee,118200,1067.0,29.85,77.89,2023,1884,1867,1443.0392981089615,1588.2325581832797,110.06162897050604,Over-Exploited,1,48.4
Uttarakhand,Hardwar,Hardwar,231338,903.0,29.95,78.16,2015,2033,1321,982.2672128341684,1177.0899034106833,119.83398081815095,Over-Exploited,0,23.29
Haryana,Panchkula,Panchkula,211355,641.0,30.7,76.85,2011,910,954,856.317262342487,572.9169575555892,66.90475396798075,Safe,0,17.41
Haryana,Ambala,Ambala,195153,736.0,30.38,76.78,2025,784,2124,1679.6598886841095,887.2729100880873,52.82455788017898,Safe,0,27.25
Haryana,Ambala,Ambala Sadar,104974,0.0,30.33,76.84,2021,804,3272,2740.806659894587,2159.3008456555017,78.78340625962102,Semi-Critical,0,35.01
Haryana,Yamunanagar,Jagadhri,124894,840.0,30.17,77.3,2014,917,4226,3076.99536819723,1818.678017087579,59.105646888026286,Safe,0,15.13
Haryana,Yamunanagar,Yamunanagar,217071,0.0,30.12,77.28,2010,875,3647,2907.089126931565,1499.1804044471305,51.56981224134386,Safe,0,37.35
Haryana,Kurukshetra,Thanesar,155152,801.0,29.96,76.82,2021,2400,4589,3237.573201496195,2435.6223664056015,75.22987789990403,Semi-Critical,0,4.48
Haryana,Kaithal,Kaithal,144915,1280.0,29.8,76.38,2019,2068,2690,2154.934853435822,2259.700837966914,104.86167757526654,Over-Exploited,0,4.37
Haryana,Karnal,Karnal,302140,830.0,29.69,76.99,2015,2293,1416,1264.2097296957334,1133.1446618766797,89.63264838575495,Semi-Critical,0,20.54
Haryana,Panipat,Panipat,295970,536.0,29.4,76.98,2022,1860,4486,3484.9102628908595,2505.4573886693,71.89445924472479,Semi-Critical,0,18.97
